"Id";"ActivityDate";"TotalSteps";"TotalDistance";"TrackerDistance";"LoggedActivitiesDistance";"VeryActiveDistance";"ModeratelyActiveDistance";"LightActiveDistance";"SedentaryActiveDistance";"VeryActiveMinutes";"FairlyActiveMinutes";"LightlyActiveMinutes";"SedentaryMinutes";"Calories"
1503960366;"2016-04-12";13162;8.5;8.5;0.0;1.9;0.6;6.1;0.0;25;13;328;728;1985
1503960366;"2016-04-13";10735;7.0;7.0;0.0;1.6;0.7;4.7;0.0;21;19;217;776;1797
1503960366;"2016-04-14";10460;6.7;6.7;0.0;2.4;0.4;3.9;0.0;30;11;181;1218;1776
1503960366;"2016-04-15";9762;6.3;6.3;0.0;2.1;1.3;2.8;0.0;29;34;209;726;1745
1503960366;"2016-04-16";12669;8.2;8.2;0.0;2.7;0.4;5.0;0.0;36;10;221;773;1863
1503960366;"2016-04-17";9705;6.5;6.5;0.0;3.2;0.8;2.5;0.0;38;20;164;539;1728
1503960366;"2016-04-18";13019;8.6;8.6;0.0;3.3;0.6;4.7;0.0;42;16;233;1149;1921
1503960366;"2016-04-19";15506;9.9;9.9;0.0;3.5;1.3;5.0;0.0;50;31;264;775;2035
1503960366;"2016-04-20";10544;6.7;6.7;0.0;2.0;0.5;4.2;0.0;28;12;205;818;1786
1503960366;"2016-04-21";9819;6.3;6.3;0.0;1.3;0.3;4.7;0.0;19;8;211;838;1775
1503960366;"2016-04-22";12764;8.1;8.1;0.0;4.8;1.1;2.2;0.0;66;27;130;1217;1827
1503960366;"2016-04-23";14371;9.0;9.0;0.0;2.8;0.9;5.4;0.0;41;21;262;732;1949
1503960366;"2016-04-24";10039;6.4;6.4;0.0;2.9;0.2;3.3;0.0;39;5;238;709;1788
1503960366;"2016-04-25";15355;9.8;9.8;0.0;5.3;0.6;3.9;0.0;73;14;216;814;2013
1503960366;"2016-04-26";13755;8.8;8.8;0.0;2.3;0.9;5.5;0.0;31;23;279;833;1970
1503960366;"2016-04-27";18134;12.2;12.2;0.0;6.4;0.4;5.4;0.0;78;11;243;1108;2159
1503960366;"2016-04-28";13154;8.5;8.5;0.0;3.5;1.2;3.8;0.0;48;28;189;782;1898
1503960366;"2016-04-29";11181;7.2;7.2;0.0;1.1;0.5;5.6;0.0;16;12;243;815;1837
1503960366;"2016-04-30";14673;9.3;9.3;0.0;3.6;1.4;4.3;0.0;52;34;217;712;1947
1503960366;"2016-05-01";10602;6.8;6.8;0.0;2.3;1.6;2.9;0.0;33;35;246;730;1820
1503960366;"2016-05-02";14727;9.7;9.7;0.0;3.2;0.6;5.9;0.0;41;15;277;798;2004
1503960366;"2016-05-03";15103;9.7;9.7;0.0;3.7;1.0;4.9;0.0;50;24;254;816;1990
1503960366;"2016-05-04";11100;7.2;7.2;0.0;2.5;0.9;3.8;0.0;36;22;203;1179;1819
1503960366;"2016-05-05";14070;8.9;8.9;0.0;2.9;1.1;4.9;0.0;45;24;250;857;1959
1503960366;"2016-05-06";12159;8.0;8.0;0.0;2.0;0.3;5.8;0.0;24;6;289;754;1896
